日期,美元／新台幣(匯率),人民幣／新台幣(匯率),歐元／美元(匯率),美元／日幣(匯率),英鎊／美元(匯率),澳幣／美元(匯率),美元／港幣(匯率),美元／人民幣(匯率),美元／南非幣(匯率),紐幣／美元(匯率)
20231002,32.237,4.415824,1.0572,149.78,1.219,0.6412,7.83235,7.30035,18.94205,0.59925
20231003,32.328,4.417072,1.0487,149.795,1.20925,0.6327,7.83185,7.3189,19.23875,0.5916
20231004,32.325,4.419668,1.0486,148.91,1.20875,0.63225,7.83025,7.3139,19.3038,0.5901
20231005,32.261,4.406595,1.0512,148.995,1.2133,0.6346,7.8287,7.32105,19.4059,0.5933
20231006,32.207,4.407077,1.0547,148.925,1.2197,0.6364,7.83105,7.308,19.4648,0.5961
20231011,32.122,4.400072,1.0597,148.725,1.2272,0.6415,7.82025,7.30035,18.9522,0.6019
20231012,32.125,4.402249,1.0621,149.185,1.2301,0.6409,7.82095,7.2974,18.84615,0.59975
20231013,32.219,4.408397,1.0555,149.675,1.22115,0.63285,7.8226,7.30855,18.9794,0.5923
20231016,32.279,4.411991,1.0525,149.525,1.2155,0.6322,7.81915,7.3162,18.91545,0.5921
20231017,32.295,4.412434,1.0546,149.625,1.2171,0.63595,7.82105,7.3191,18.77635,0.5896
20231018,32.29,4.413042,1.0578,149.765,1.2182,0.6377,7.82805,7.31695,18.754,0.5899
20231019,32.323,4.408469,1.0535,149.795,1.21155,0.6302,7.82545,7.332,19.1245,0.5819
20231020,32.32,4.405442,1.0576,149.985,1.21095,0.63025,7.82145,7.3364,19.07415,0.58215
20231023,32.348,4.418025,1.06065,149.87,1.2178,0.6311,7.82475,7.32185,19.0764,0.5825
20231024,32.316,4.416822,1.06515,149.465,1.22515,0.63665,7.82205,7.3166,19.0051,0.5859
20231025,32.341,4.41694,1.05905,149.895,1.2143,0.6358,7.8226,7.32205,19.1163,0.58435
20231026,32.43,4.427019,1.05495,150.375,1.20905,0.63095,7.82045,7.32545,19.1723,0.5804
20231027,32.425,4.42731,1.0557,150.145,1.2115,0.6345,7.81955,7.32385,18.922,0.5821
20231030,32.425,4.423483,1.055,149.565,1.2097,0.6356,7.82115,7.3302,18.8509,0.5826
20231031,32.419,4.419942,1.0626,150.375,1.21545,0.63565,7.82365,7.3347,18.82375,0.5842
20231101,32.484,4.427017,1.0566,151.255,1.21595,0.63405,7.82385,7.33765,18.6887,0.5819
20231102,32.361,4.412487,1.0597,150.455,1.2161,0.64225,7.82295,7.33395,18.4729,0.5878
20231103,32.303,4.411815,1.063,150.345,1.2196,0.6441,7.82505,7.32195,18.4033,0.5909
20231106,32.143,4.413941,1.0744,149.575,1.2393,0.6516,7.821,7.28215,18.2069,0.5997
20231107,32.197,4.415851,1.0697,150.475,1.23175,0.64315,7.81855,7.29125,18.3616,0.59245
20231108,32.248,4.428682,1.0675,150.655,1.22685,0.64385,7.81635,7.2816,18.39515,0.5936
20231109,32.258,4.423023,1.0704,150.955,1.22845,0.64035,7.80955,7.2932,18.52805,0.59225
20231110,32.352,4.429442,1.0671,151.395,1.2227,0.63615,7.80975,7.30385,18.6679,0.5898
20231113,32.332,4.427867,1.0689,151.795,1.2234,0.6368,7.81,7.30195,18.6726,0.5885
20231114,32.33,4.427173,1.0702,151.695,1.22845,0.63625,7.80705,7.30265,18.73595,0.5866
20231115,32.108,4.433216,1.08775,150.705,1.247,0.6509,7.80625,7.2426,18.2225,0.60345
20231116,32.01,4.409281,1.08435,151.425,1.2378,0.6477,7.80505,7.2597,18.23705,0.5979
20231117,31.856,4.393898,1.08305,150.355,1.2385,0.6465,7.79685,7.25005,18.4154,0.59505
20231120,31.658,4.411004,1.0927,148.745,1.2491,0.656,7.79425,7.17705,18.3392,0.6036
20231121,31.448,4.408349,1.0955,147.545,1.2532,0.65765,7.79345,7.13375,18.32485,0.6076
20231122,31.595,4.418024,1.0915,148.915,1.2536,0.65425,7.79625,7.1514,18.6643,0.6034
20231123,31.545,4.416363,1.09,149.235,1.2512,0.6564,7.7972,7.14275,18.7825,0.6055
20231124,31.628,4.417831,1.091,149.525,1.2534,0.6562,7.7936,7.15915,18.8923,0.60565
20231127,31.57,4.414149,1.0948,149.045,1.2619,0.6592,7.78925,7.152,18.8193,0.6087
20231128,31.468,4.395702,1.0942,148.595,1.26135,0.66095,7.79505,7.1588,18.692,0.60935
20231129,31.25,4.386094,1.09945,147.405,1.2708,0.66365,7.7982,7.1248,18.5148,0.6169
